text,reviewId,url,placeId,categoryName,stars,title,reviewImageUrls/0,genre,prompt,completion
Good hookups and convenient in and out of Interstate. Priced included discount for dinner buffet (good) and breakfast at hotel. Roads wide enough for maneuvering a 38 ft motor home. Unhooked and hooked up tow by hotel. Check in and out at hotel. Some sites under water from recent rains.,ChdDSUhNMG9nS0VJQ0FnSUMwbWJ1SmhnRRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,4.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipN3_TWOO--4I5_qtWqwkpqLyJACxHQfn6HKYf5t=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,Good hookups and convenient in and out of Interstate. Priced included discount for dinner buffet (good) and breakfast at hotel. Roads wide enough for maneuvering a 38 ft motor home. Unhooked and hooked up tow by hotel. Check in and out at hotel. Some sites under water from recent rains.
$25 casino credit for new members. Lots of machines. If you love casinos… this a must stop.,ChdDSUhNMG9nS0VJQ0FnSUN1cDdteWx3RRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipMvIy7f-qk2ys7wfbuS0P42rrcs520UoUn0yAPv=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,$25 casino credit for new members. Lots of machines. If you love casinos… this a must stop.
"I enjoyed the place. Clean and not crowed. No real food options, just a cafe type.",ChdDSUhNMG9nS0VJQ0FnSUQyMnVhRDJ3RRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipPrXbV-6CB-hrpYYbR5V2XJW3wNgKcqfI6M31C0=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"I enjoyed the place. Clean and not crowed. No real food options, just a cafe type."
"I love going to this casino. It's clean, the staff are friendly. And hey winning isn't bad either. The only thing that could be better is if one of the other 2 restaurants upstairs besides the Hops were a little less expensive.
Update 12/11/21: the casino has made the social distancing very comfortable. I actually prefer the machines set up this way - a little more distanced, (not that it's a TON) like they are, it makes it quite nice. About the 2 restaurants I mentioned before, they're both amazing and worth the price and as the casino added, you can use your card to help out. Enjoy!!!",ChZDSUhNMG9nS0VJQ0FnSUQ0a1plMmNBEAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipMGjGvhikD40UiXNBLaJYqwtETZQzPEPPqDHJVQ=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"I love going to this casino. It's clean, the staff are friendly. And hey winning isn't bad either. The only thing that could be better is if one of the other 2 restaurants upstairs besides the Hops were a little less expensive.
Update 12/11/21: the casino has made the social distancing very comfortable. I actually prefer the machines set up this way - a little more distanced, (not that it's a TON) like they are, it makes it quite nice. About the 2 restaurants I mentioned before, they're both amazing and worth the price and as the casino added, you can use your card to help out. Enjoy!!!"
"Best RV Park in the area and closest to Chicago. + a Casino.
Check in is easy, You check in at the hotel. The Girls at the front desk are awesome, friendly, and knowledgeable of the area. During our stay RV Sites included free breakfast and $5 off coupons for food at the casino.
The sites are huge, grass everywhere,  and the area is well lit.
Partial hookups; Electric and Water with a nice dump station behind the hotel, easy access and clean.
The Casino has 3 great places to eat and live entertainment on various nights. Slots and Tables. We've had good luck at the slots. Haven't tried the tables.
There is a shuttle that doubles as security to take you to and from the casino.
And here's a cool plus,  evening visits by deer. yep there is a small herd that lives in the area and the wander through most evenings.",ChZDSUhNMG9nS0VJQ0FnSURReWJLRUNREAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipN03D4KwJWMZaRtvznZ-BvNohMiWvDMZPtSBAm4=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Best RV Park in the area and closest to Chicago. + a Casino.
Check in is easy, You check in at the hotel. The Girls at the front desk are awesome, friendly, and knowledgeable of the area. During our stay RV Sites included free breakfast and $5 off coupons for food at the casino.
The sites are huge, grass everywhere,  and the area is well lit.
Partial hookups; Electric and Water with a nice dump station behind the hotel, easy access and clean.
The Casino has 3 great places to eat and live entertainment on various nights. Slots and Tables. We've had good luck at the slots. Haven't tried the tables.
There is a shuttle that doubles as security to take you to and from the casino.
And here's a cool plus,  evening visits by deer. yep there is a small herd that lives in the area and the wander through most evenings."
"We are Drivers and visit a few casinos here and there around the country. I thought it was pretty cool.The visual aspect and overall look and design of the place is actually pretty awesome! (You immediately feel like your walking into a top notch establishment). They have a decent number of the front line slots to play, ""Money Cash"" for instance along with alot of the old reel style machines on the lower level (where the table games are at)The Deli was pretty good Salena was great. Definitely a class joint throughout would love to come back again someday.",ChdDSUhNMG9nS0VJQ0FnSURNdUxuSGxRRRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipNJXzpJCpSley8i3OoWn5YR5J0cDLOYamCv1xz0=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"We are Drivers and visit a few casinos here and there around the country. I thought it was pretty cool.The visual aspect and overall look and design of the place is actually pretty awesome! (You immediately feel like your walking into a top notch establishment). They have a decent number of the front line slots to play, ""Money Cash"" for instance along with alot of the old reel style machines on the lower level (where the table games are at)The Deli was pretty good Salena was great. Definitely a class joint throughout would love to come back again someday."
"We were in and out super fast since we lost $$ fast 😬😉
I will not give less stars like some other reviewers here just because I lost money, you come and play you either lose or win that's the deal .  I am giving 5 stars since the environment was cool , clean and employees were helpful . We didn't try the restaurant inside but we are planing to come back and spend a little more time to lose more 😄
Have fun people and play wisely!!!",ChdDSUhNMG9nS0VJQ0FnSUNXanR1UDVRRRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipM3UOxajUveRnL5a67g89quQlUWDRpabbGhx0Jq=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"We were in and out super fast since we lost $$ fast 😬😉
I will not give less stars like some other reviewers here just because I lost money, you come and play you either lose or win that's the deal .  I am giving 5 stars since the environment was cool , clean and employees were helpful . We didn't try the restaurant inside but we are planing to come back and spend a little more time to lose more 😄
Have fun people and play wisely!!!"
"Was very quiet until this stay, on the 3rd floor for weeks it was peace and very nice, this time 2nd floor it's another hotel. The staff is great and rooms are clean. I paint while here. It is still better than the next exit.",ChZDSUhNMG9nS0VJQ0FnSURvbmJxbklREAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,4.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipOpvARJLJDOSGTzEk0aKMTTzmxt4Tzbc5ZMS0us=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Was very quiet until this stay, on the 3rd floor for weeks it was peace and very nice, this time 2nd floor it's another hotel. The staff is great and rooms are clean. I paint while here. It is still better than the next exit."
"Good casino, tables downstairs, all slots up stairs. In Illinois there are no free drinks like Vegas but service if Relatively fast and reasonable for casino. there are also adequate smoking areas to downstairs and two upstairs. Also one in the lobby to different parking areas and free valet parking. My mom has a handicap Placher and it’s a little bit of a walk from the Val way to the casino floor. The buffet is OK but expensive and so is the little sandwich shop on the bottom floor",ChZDSUhNMG9nS0VJQ0FnSUNRdlBhQ2RREAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipNbA_9go2GcyD1LuDTtDMdN4_ZPtApdyO_djR61=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Good casino, tables downstairs, all slots up stairs. In Illinois there are no free drinks like Vegas but service if Relatively fast and reasonable for casino. there are also adequate smoking areas to downstairs and two upstairs. Also one in the lobby to different parking areas and free valet parking. My mom has a handicap Placher and it’s a little bit of a walk from the Val way to the casino floor. The buffet is OK but expensive and so is the little sandwich shop on the bottom floor"
"Fun casino for slots and table games, with nice mychoice rewards. Recommend the fish n chips and watching all the sports games at 99 Hops House.",ChZDSUhNMG9nS0VJQ0FnSURoeWZYM2Z3EAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipPbUnwepJaXlUhJla2lr9_FuJLSPMKpq02twJBS=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Fun casino for slots and table games, with nice mychoice rewards. Recommend the fish n chips and watching all the sports games at 99 Hops House."
I recommend the steak house it was alot of food and very delicious..the staff were amazing...now I didnt win but I had fun ...most definitely be back!,ChZDSUhNMG9nS0VJQ0FnSURNbzVqU0J3EAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipPchfuj1Yg2jhSdtPKJfUGgnN0sG9Y_1ckGJ0f0=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,I recommend the steak house it was alot of food and very delicious..the staff were amazing...now I didnt win but I had fun ...most definitely be back!
Casino was ok. Buffet looked awesome everything looked fresh and the cooks stayed on top of things that were just sitting. Casino had many slot machines poker tables and at least one black jack table. I wish the gift store actually had something cool for purchase. Plenty of parking and I think they offered a shuttle bus. I did not check out the hotel but the casino is okay.,ChZDSUhNMG9nS0VJQ0FnSUNBZ3JqcU9REAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,3.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipN8iHqo7Eu4CAbgx20UjpzZsOzvOTrsg4GG0uB4=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,Casino was ok. Buffet looked awesome everything looked fresh and the cooks stayed on top of things that were just sitting. Casino had many slot machines poker tables and at least one black jack table. I wish the gift store actually had something cool for purchase. Plenty of parking and I think they offered a shuttle bus. I did not check out the hotel but the casino is okay.
"A great casino and the hotel was very nice also.   The only complaint that we have, is the hotel is located across the huge parking lot.  Would not be nice to walk that in rainy weather or even during the winter months.",ChdDSUhNMG9nS0VJQ0FnSUNHODVPS3d3RRAB,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipOLVmTrtvUgqA84rUTAt6J0_2tT9M5MhPaIab4j=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"A great casino and the hotel was very nice also.   The only complaint that we have, is the hotel is located across the huge parking lot.  Would not be nice to walk that in rainy weather or even during the winter months."
"Great casino, I'm not much of a gambler but the casino is in beautiful deco design.They have a sports betting restaurant area. We had the grilled chicken panini it was fantastic.",ChZDSUhNMG9nS0VJQ0FnSUNxdzdiNlZBEAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,5.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipMAlr2LLHMhLoQy0z_hIQQtr5x2FSGBfdNlsQlM=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"Great casino, I'm not much of a gambler but the casino is in beautiful deco design.They have a sports betting restaurant area. We had the grilled chicken panini it was fantastic."
"RV PARK REVIEW: Not a bad park!  Room between sites and lots of grass around for dogs. Too bad it isn't full hookup.

Also it would be nice if they made a dog park! There's lots of space for one and it would really enhance the park. Almost everyone there had dogs.

Cards to bathrooms wouldn't work.",ChZDSUhNMG9nS0VJQ0FnSURVNUtfZ2VnEAE,"https://www.google.com/maps/place/Hollywood+Casino+%26+Hotel+Joliet/@41.3928088,-96.3317368,6z/data=!4m9!3m8!1s0x880e6243b05a33d1:0x8d499604b2a24ecb!5m2!4m1!1i2!8m2!3d41.4792997!4d-88.1453519!16s%2Fg%2F1tg4lzpx?hl=en",ChIJ0TNasENiDogRy06isgSWSY0,Casino,3.0,Hollywood Casino & Hotel Joliet,https://lh5.googleusercontent.com/p/AF1QipNlR8NvHWtbNjZMtqwTSYsK3615cnuHtm-zyvLq=w150-h150-k-no-p,hotel,A Google Maps review about a casino.,"RV PARK REVIEW: Not a bad park!  Room between sites and lots of grass around for dogs. Too bad it isn't full hookup.

Also it would be nice if they made a dog park! There's lots of space for one and it would really enhance the park. Almost everyone there had dogs.

Cards to bathrooms wouldn't work."
