stars,publishedAtDate,name,text,title,subTitle,description,price,totalScore,likesCount,isLocalGuide,reviewId,categoryName,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewUrl,reviewerId,reviewerNumberOfReviews,reviewerPhotoUrl,reviewerUrl,reviewsCount,scrapedAt,state,street,temporarilyClosed,url,website,categories/0,categories/1,categories/2,categoryName.1,genre,keywords,keywords_only,sentiment,sent_score_0,label,placeId,text_length,prompt,text_gpt3_v2,prompt_v3,gpt3_v3
,,,"$10 for an hour if unlimited arcade play, including pinball, racers, fighters, and more. An awesome way to let the kids have fun on their own while you have some fun too!",Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQyNGI2SnFnRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###," We had a blast! It was our first time here. 3rd time going to Frankie's Fun Factory, but first time coming back on a busy night! The staff is amazing and super friendly. We will be back! ",A Google Maps review about a Amusement center. ###, A great place for the kids to have a lot of fun and a place to relax 
,,,"A lot of different videos games. Even games you can dance to and get a workout . The staff are friendly and helpful . Bowling,.crane machines, zombie games  and much more. You can play by yourself or with friends. You can earn prizes from points or tickets you get from the games . Definitely stop in here for some fun .",Round 1,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQwOE1iNE93EAE,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, This place is fun for the whole family ,A Google Maps review about a Amusement center. ###, Fun place. Great rides. Staff is nice and helpful. 
,,,KickAss spot best in town,Round 1,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURVNzVMR29RRRAB,Amusement center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ-9sjCNIKIocRl6FxNDni4UQ,,A Google Maps review about a Amusement center. ###, Go karts are fun for adults and kids alike ,A Google Maps review about a Amusement center. ###," Good time, had a blast..
Unity is the way it’s supposed to be!! "
,,,"When I crave nachos, this is exactly what I'm looking for! Toppings on every crisp chip and the 1/2 order was perfect! The fajita chicken itself was full of flavor! This spot in Tuttle did not disappoint! In smaller towns I usually settle for something. This was not that place and in fact may be a planned destination again in the future.",Trevino's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQ2emVUUmRREAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ07MrWWRzsocRLsJKlEA9SVM,,A Google Maps review about a Mexican restaurant. ###," Absolutely horrible service and food. They obviously don’t want to do business as there was literally no one dining in but me and my husband. We literally waited 35 minutes for ANYONE to even acknowledge our existence. And even then, it was the hostess walking up to tell us our table is ready when we’ve been standing at the entrance waiting to be seated for literally 30 minutes. The restaurant itself is very clean, which is a nice surprise (not sure how) when 99% of it was closed. And even still, the food was disgusting and the chicken had raw spots in it and the cheese in the quesadilla was uncooked and disgusting. I’m so upset that I chose to eat here.",A Google Maps review about a Mexican restaurant. ###, Best carne asada & fajitas in west Michigan 
,,,"Excellent service from this family owned and operated restaurant.
Food was great and I had plenty burrito left to take home. I'll be back",Trevino's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNCLV9fZlJ3EAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ07MrWWRzsocRLsJKlEA9SVM,,A Google Maps review about a Mexican restaurant. ###, This place is absolutely amazing. Food is absolutely delicious. Service is outstanding. Never had food so good in a restaurant. Prices are so good too. God bless this establishment. ,A Google Maps review about a Mexican restaurant. ###," Really liked their chicken torta. Depends on whom you get it from though, difference in quality is noticeable. Large bag of chips came with the order though. Very quick, friendly service from waitress. "
,,,"Tasty food, drinks. We were a table of 10.The service was fantastic. They forgot about alcoholic drink be immediately after that I told them they rushed to give you my drink which is well appreciated. They make fantastic grilled pineapple margarita.",Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURxMU42S3FRRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," amazing steak and potatoes :) a bit pricey, but good quality and great taste! ",A Google Maps review about a Steak house. ###, Best place to have dinner here 
,,,"Oh my goodness! The kids wanted steak, so I consented. I have never been to a Saltgrass. It was absolutely delicious and out service was second to none. In fact, we tipped extra. It's so hard to find a place that has tender and moist medium well meat preparation. 🍖 They nailed it! We will be back.",Saltgrass Steak House,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNtOHZtck53EAE,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," Very well done, great food and excellent service. ",A Google Maps review about a Steak house. ###," Sorry I left my tip in my positive review for that truck, it’s gone. "
,,,The best place for steaks in San Antonio,Saltgrass Steak House,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUM4MHFQU053EAE,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," I was visiting Fulshear for the first time and had read good reviews about this place.  I was not disappointed. Fresh, hot and tasty meal with a  great view of the lake while I enjoyed a very relaxing atmosphere. I will definitely go back on my next visit. ",A Google Maps review about a Steak house. ###, The service was horrible today. It took a bafru of minutes to get anything. Our appetizer arrived before our main things came out. Where it's supposed't to take at least 5mins top. Longest 2 course meal  I've ever experienced. The  managers either not coming to us or being so evasive they couldn't take our calls. The co waitress was nice and the dessert was good. No other words to say other than avoid if you can. 
,,,Great atmosphere and service,Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNCblpyLXZBRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###, Nice service and fast food. Food was good and warm. None of my fried were cold when I picked up. ,A Google Maps review about a Steak house. ###," Nice and quiet place. Had a nice steak roll, good portion. A little pricy, at least in the United States (worse than Europe, I have to say). You'll have to decide how you value money if you take away from your meal. Coming from south America, prices are not that expensive. Steam table will be sufficient if you want to save and eat with your silverware. "
,,,I love their seafood fondue,Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURvNkpQc29BRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," Meat and potatoes.  Drinks and fire.  Salad bar that’s not trash.
Steak and potato.  Ribeye and baked potato.  Deviled eggs.  Tea.  And some cake at the end. ",A Google Maps review about a Steak house. ###," A little pricey, but delicious...! "
,,,Never had a country fried steak that was freshly fried and battered like this before!!!,Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUN1d2RyaXNRRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," Very good food and restaurant, with excelent servise and very good wine. And the the price is not that expensive :-) ",A Google Maps review about a Steak house. ###," We ate there last week and the food was excellent,

but they were out of just about all their appetizers. The cast iron slab of ribs, and the goat cheese dip were tasty and filling but you will have leftovers. I also ordered a long Island iced tea, and it was very tasty as well. "
,,,We went today and it was really bad we ordered the red fish and it was tooo spicy i felt like the spices fallen on the plate and it not says on the menu i cant even eat it I ate just two pite and my husband ordered the 12 steak medium well but it was hard and we paid 68 dollars for nothing!!,Saltgrass Steak House,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURDaWJ2MkF3EAE,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," Great experience. Food is delicious, service is outstanding and prices are reasonable. A nice place for a relaxed delicious dinner out. ",A Google Maps review about a Steak house. ###, Cosy atmosphere with great food and drinks... 
,,,Very consistent and the food has a great flavor. It's moderately priced but the steak is much better than the Roadhouse. Definitely recommend.,Saltgrass Steak House,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNnOE9yelB3EAE,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," Came in for a quick bite to eat and cup of coffee.
During my visit a very large party was also dining.  The staff handled the situation very well.
Great job! Keep up the good work ",A Google Maps review about a Steak house. ###, Outstanding!! Service was excellent!!  Large well cooked meat cooked to perfection!!! Great side dishes!!! The open seating concept.... Yes please!!! I will be back again!! Absolutely wonderful!! 
,,,"Pat's Ribeye is always my choice and never disappoints! Tried the green beans instead of potato and they were DeLiCiOuS! It's been a few years since I've been and the ranch dressing isn't what It used to be, but those steaks are bomb!",Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQ2cUlTUi1BRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," It's been 5 years or more since I've eaten here but it's as good as I remember. I enjoyed the Star Route, a huge steak cooked medium and with all the fixings. My wife enjoyed the salmon, cooked perfectly and with a great sauce. Our daughter had the chicken tenders which she liked very much and our son surprised us by ordering s prime rib Oscar style, it was very thick and he only ate a little of it, perhaps his second choice would have been a better selection. ",A Google Maps review about a Steak house. ###, First time ever indulging in Pups! :)  They have a full bar and fabulous food. 
,,,I just forgot to take pictures of our main course but was delicious mine was he prime rib and my husband was sirloin stake. Both really delicious. The place was full but very very fast with ours order.,Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNNNTdQRDJRRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," Nice food but the service was sloooooowwwwwwww.
Grilled vegetables were excellent. ",A Google Maps review about a Steak house. ###," Was nice to be able to reserve a table. We were a party of 4 with my husband, our teenager, and grandma. Hadd away with a birthday cake! We were able to enjoy quality prime Rib and Caesar's salad, that came in refillable bread dish and without the croutons! Everyone had very good meals. Especially the Caesar salads were very delicious and portions were large! All left overs dinner the bones and the salad. No plates :) Haha. Very nice staff, and a good experience! "
,,,T-bone steak cooked to perfection. Nice staff and atmosphere.,Saltgrass Steak House,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUQtNnZTVmFnEAE,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###," We stopped in for lunch and left very happy campers. The  steak was perfectly cooked and tasty.  The potato and house salad were very good.  Our waitress was great,  answered all of our questions and brought us samples of the sauces.  Very relaxing environment and we will be back.  P.S. try the Alabama white BBQ sauce...superb. ",A Google Maps review about a Steak house. ###," I'm going to give it 3 stars as I, literally, do not know how to rate a place like this. It's an incredibly unique experience. The food was so average and the service was almost non existent. Our waitress barely looked at us, we had to flag her down to get our waters refilled after almost 20 minutes. I'm sure it's partially our fault for not standing up out of our seats and hi-fiving her the second we sat down. The server who checked us out just had us writing our names on a screen and I felt she posed little to no questions about our experience. Otherwise a cool experience and environment. "
,,,"Great place, and service",Saltgrass Steak House,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNTeU9yUjhnRRAB,Steak house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2XKglSVnXIYRMXUMBScoSCc,,A Google Maps review about a Steak house. ###, Great food and service! ,A Google Maps review about a Steak house. ###, Very good 👌 
,,,"I ordered flautas thinking they're fresh made, nope frozen taquitos is what they served me. The salsa if really good though!",Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUMyckpXeWF3EAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, Love their enchilada plates ,A Google Maps review about a Mexican restaurant. ###, I love their wings! 
,,,"Have been here multiple times with average experiences, this last time, however, sealed the deal for me. Ordered a lunch special and got 1, ONE! tamale (or enchilada, whatever). One? Really? We ordered take out so I called back & was told, 'yep, you get one!' But that's not what the menu said; silly me.",Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURReHRLcE53EAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###," It's a shame because I'm a big fan of Hometown's breakfast.  I visited this location twice again since the first visit and nothing has changed. Friendly staff, quick service but the food is clearly not fresh. I'd recommend sticking to breakfast because they are great. Not sure what is going on but lunch/dinner is not fresh and just sitting in the steam table. If you visit and make lunch don't get the tacos because they aren't properly heated...usually the filling will be cold. ",A Google Maps review about a Mexican restaurant. ###, Great Mexican food! 
,,,"The margaritas are amazing, the food is good but definitely nothing special.",Vallarta's Mexican Restaurant,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURjM1BPZ3BBRRAB,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###," Hubby and I absolutely love this place. Always good. I get the fajita combo with tacos and tortillas. Depending on who is on the grill then that determines how long you will have to wait. It always pays off. They had a new addition to the menu, Fajita Nachos! Definitely recommend! ",A Google Maps review about a Mexican restaurant. ###, The food and original Margaritas are good. When we arrived I seat in the bar area. I order a bowl of Chicken and Avocado Enchilada. It came and I figured..it looked like a bowl of dry noodles with tomato sauce.  …yikes.  So did I keep it or take it back? Glad I found a chip on the lid. Thankful I put the lid back on. What a Waste.  Next was the Churros..they looked not great but tonight I was in the mood for something Sweet. I looked at those and decided to try one. Then everything was ok. I got it to a point. Would rate 3 stars 
,,,"We stopped in while riding through town on our motorcycle. It was busy so we thought it must be good. It was ok. We ordered flautas. They tasted like something you would get from Walmart. Just ok. We ordered a top shelf margarita. It tasted like a normal margarita, not top shelf tequila.",Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURLLXVLSGFREAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, Love this place the food is always so good and the service is always amazing🙂 ,A Google Maps review about a Mexican restaurant. ###, Fresh food delicious fast delivery 
,,,"My partner and I stopped here on our way home from Tulsa. It's cute inside and the staff we saw was cordial and attentive.

The salsa is mild and not very flavorful. It tastes mostly like tomatoes, but not terrible. We ordered regular queso. It was okay. Your standard runny white queso that's bland.

My partner and I split their story fajita plate to which I don't recall the name. It has chicken, steak, carnitas, shrimp and chorizo. The presentation was beautiful and the flavor was good. Nicely seasoned and all the meats were juicy and tender. There was a good ratio of meat to veggies. Overall, it was delicious and I'd choose this item again.",Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURlNU5mN0xnEAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, Best Mexican food in KC ,A Google Maps review about a Mexican restaurant. ###, CUTE PLACE 
,,,"Great food, great price,  great lunch and fantastic  service  .!",Vallarta's Mexican Restaurant,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURrenM2d21BRRAB,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, Excellent service and food. Will be back! ,A Google Maps review about a Mexican restaurant. ###, I really like their quesadillas and tamales 
,,,Good food and the server was  very informative.,Vallarta's Mexican Restaurant,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNvZ0lDR3lnRRAB,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, The food is tasty and the service is great. Add this to the list of Kansas City joints that have outstanding veggie options. ,A Google Maps review about a Mexican restaurant. ###, Great Margaritas!  Delicious!  Rice was dry and flavorless.   Service was mediocre.  Salsa tasted like horseradish. 
,,,Great food and people!,Vallarta's Mexican Restaurant,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURZbE82U01REAE,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###, One of my favorite places as child and an adult. I love this place! ,A Google Maps review about a Mexican restaurant. ###, Real good food. Great place for a family meal. I really enjoyed their Tex-mex burrito. Very good for the price. 
,,,Excellent food& pretty fast service for Sunday night,Vallarta's Mexican Restaurant,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNZd3VQdndRRRAB,Mexican restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAKE,ChIJ2zmyaUXKtocRMCvZuoOYZ3c,,A Google Maps review about a Mexican restaurant. ###," Buffet was amazing.  Salad, pico de gallo, tamales, fried ice cream and TLC cake. What more could you want? I even got to eat tacos without worry of getting sick. So proud of myself.  My normal gag reflex was quelled. ",A Google Maps review about a Mexican restaurant. ###, Very tasty food! 
